scaffold,cid
c1cc(-c2cn(Cc3cn4cc(CNCC5CCC5)ccc4n3)nn2)c2cncn2c1,"[163239127, 163239115, 163239103, 163239071]"
c1cnc2cc(COC3CCC(n4ccc5cncnc54)C3)ccc2c1,[156327127]
c1cnc2cc(CCC3CCC(n4ccc5cncnc54)O3)ccc2c1,[166634231]
c1cc2cc(-c3cn(Cc4cn5cc(CNCC6CCC6)ccc5n4)cn3)cnc2[nH]1,[163239044]
c1ccc(CCNc2ncnc3c2ccn3C2CCC(COc3ccc4cccnc4c3)O2)cc1,[166628120]
c1cc2nc(Cn3cc(-c4cncc(N5CCOCC5)c4)nn3)cn2cc1CNCC12CC(C1)C2,"[163239159, 163239146]"
c1cncc(-c2cn(Cc3ccc4cc(CNCC5CCC5)[nH]c4c3)nn2)c1,"[156442211, 156442368, 156442365, 156442158]"
c1cnc2cc(OCc3cncc(-n4cc(C5CCCO5)c5cncnc54)c3)cnc2c1,"[156304064, 156304070]"
c1c[nH]c(-c2ccc3ccc(OCC4CCC(n5ccc6cncnc65)O4)cc3n2)n1,[166628364]
c1cnc2cc(OCC3CCC(n4cc(-c5ncco5)c5cncnc54)O3)ccc2c1,[156326963]
O=C(NCc1ccc2cc(CNCc3ccccc3)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156461954]
O=C(NCc1cn2ccccc2n1)c1cc(=O)n2ccccc2c1,[163239156]
c1cnc2cc(CCC3CCC(n4cc(-n5cccn5)c5cncnc54)C3)ccc2c1,[156327009]
C(=CC1CCC(n2ccc3cncnc32)O1)CC1CNC1,[163239323]
c1cc(N2CCNCC2)c2ccc(OCc3cncc(-n4cc(C5CCCO5)c5cncnc54)c3)cc2n1,"[156304041, 156304040]"
c1ncc2ccn(C3CCC(CCC4CCNCC4)O3)c2n1,[166626182]
c1ncc2ccn(C3CCC(CCc4ccc5nccn5c4)C3)c2n1,[166631862]
O=C(c1ccc(OCc2cncc(-n3cc(C4CCCO4)c4cncnc43)c2)cc1)N1CCNCC1,[156304124]
O=C(NCc1cnc2cc(CNCC3CCC3)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156461672]
c1coc(-c2ccc(OCc3cncc(-n4cc(-c5cc[nH]n5)c5cncnc54)c3)cc2)n1,[156304157]
C(=CC1CCC(n2cc(-c3ccn[nH]3)c3cncnc32)O1)CCCNCC12CC(C1)C2,[163239329]
c1ncc2c(C3CCCO3)cn(-c3cncc(COc4ccc5ccc(N6CCC6)nc5c4)n3)c2n1,"[156304147, 156304036]"
O=C(NCc1ccc2cc(CNCC34CC(C3)C4)[nH]c2c1)c1cc(=O)n2ccccc2n1,"[156748977, 156748880, 156461964, 156461806, 156748905, 156748890, 156748966]"
O=C(NCc1cn2ccccc2n1)c1nccc2[nH]ncc12,[155167584]
c1cnc(-c2cn(C3CCC(COc4ccc5ccc(N6CCC6)nc5c4)O3)c3ncncc23)cn1,[166627439]
c1ncc2ccn(C3CCC(c4ccc(CN5CCCCC5)cc4)C3)c2n1,[171400803]
c1coc(-c2cn(-c3cncc(COc4ccc5cccnc5c4)c3)c3ncncc23)c1,"[156731623, 166629085]"
c1cnc2cc(NCC3CCC(n4ccc5cncnc54)C3)ccc2c1,"[166631301, 166631337]"
c1ccc(CCCCNCCNc2ccnc3cc(OCc4cncc(-n5ccc6cncnc65)c4)ccc23)cc1,[156304099]
c1cnc2cc(CCc3cncc(-n4cc(-c5cc[nH]n5)c5cncnc54)c3)ccc2c1,"[156304135, 156731600, 156304094, 156296281, 156304018, 156304088]"
c1ncc2c(-c3cc[nH]n3)cn(-c3cncc(COc4ccc5ccc(N6CC7(COC7)C6)nc5c4)c3)c2n1,[156731594]
c1ncc2c(-c3cc[nH]n3)cn(-c3cncc(COc4ccc5ccc(N6CCC6)nc5c4)c3)c2n1,"[156304061, 156304158, 156304063, 156304159, 156304071]"
O=C(NCc1cncc(-n2cc(-c3cc[nH]n3)c3cncnc32)c1)Nc1cccc(N2CCC2)n1,[156296258]
c1ncc2c(-c3cc[nH]n3)cn(-c3cncc(COc4ccc5ccc(N6CC7(CCC7)C6)nc5c4)c3)c2n1,[156731570]
c1ccc(CCCNCCNc2ccnc3cc(OCc4cncc(-n5ccc6cncnc65)c4)ccc23)cc1,[156304132]
c1cnc2cc(OCc3cncc(-n4ccc5cncnc54)c3)ccc2c1,"[156304045, 166039051, 156303987, 156304150, 166039048, 156304024, 166039016, 166039036, 156304110, 166039018, 156304080, 156304107, 166039038, 156304104]"
c1cc(COc2ccc3cccnc3c2)cc(-n2cc(C3CCCC3)c3cncnc32)c1,[156304013]
c1cnc2cc(CCc3cncc(-n4cc(-c5cc[nH]n5)c5cncnc54)c3)cnc2c1,[156304030]
c1ncc2c(-c3cc[nH]n3)cn(-c3cncc(COc4ccc5ccc(N6CCOCC6)nc5c4)c3)c2n1,[156304067]
c1cc(N2CCOCC2)c2ccc(OCc3cncc(-n4cc(C5CCCO5)c5cncnc54)c3)cc2n1,"[156304060, 156304164]"
c1cc(NC2CC2)c2ccc(OCc3cncc(-n4cc(C5CCCO5)c5cncnc54)n3)cc2n1,[156304033]
O=C(NC1CCOCC1)c1ccc(OCc2cncc(-n3cc(-c4cc[nH]n4)c4cncnc43)c2)cc1,[156304044]
c1ncc2c(-c3cc[nH]n3)cn(-c3cncc(COc4ccc5ccc(N6CC7(CC7)C6)nc5c4)c3)c2n1,[156304069]
O=C1CN(c2ccc3ccc(OCc4cncc(-n5cc(-c6cc[nH]n6)c6cncnc65)c4)cc3n2)C1,[156304168]
O=C1CCCN1c1ccc2ccc(OCc3cncc(-n4cc(-c5cc[nH]n5)c5cncnc54)c3)cc2n1,[156304145]
c1ncc2c(C3CCCO3)cn(-c3cncc(CCc4ccc5ccc(N6CCC6)nc5c4)c3)c2n1,[156303961]
c1cc(COc2ccc3ccc(NCC4CC4)nc3c2)cc(-n2ccc3cncnc32)c1,[156304117]
c1ncc2c(-c3cc[nH]n3)cn(-c3cncc(COc4ccc5ccc(C6CCOCC6)nc5c4)c3)c2n1,[156304043]
O=C1CCN1c1ccc2ccc(OCc3cncc(-n4cc(-c5cc[nH]n5)c5cncnc54)c3)cc2n1,[156304047]
c1cnc2cc(OCc3cncc(-n4cc(C5CCCCC5)c5cncnc54)c3)ccc2c1,[156304051]
c1cnc2cc(OCc3cc(-n4ccc5cncnc54)ncn3)ccc2c1,[156303975]
c1cc(COc2ccc3cccnc3c2)nc(-n2ccc3cncnc32)c1,[156304011]
O=C(c1ccc(OCc2cncc(-n3cc(-c4cc[nH]n4)c4cncnc43)c2)cc1)N1CCOCC1,[156304165]
c1cc(NC2CC2)c2ccc(OCc3cncc(-n4cc(-c5cc[nH]n5)c5cncnc54)c3)cc2n1,[156304021]
c1ncc2c(C3CCCO3)cn(-c3cncc(COc4cnc5ccc(N6CCC6)nc5c4)c3)c2n1,[156304066]
c1cc(N2CCCC2)c2ccc(OCc3cncc(-n4ccc5cncnc54)c3)cc2n1,[156304141]
c1ncc2c(-c3cc[nH]n3)cn(-c3cncc(COc4ccc5ccc(N6CCNCC6)nc5c4)c3)c2n1,[156304068]
c1cc(OCc2cncc(-n3cc(C4CCCO4)c4cncnc43)c2)c2ccc(N3CCC3)nc2c1,[156304054]
O=C(c1ccc(OCc2cncc(-n3cc(-c4cc[nH]n4)c4cncnc43)c2)cc1)N1CCCCC1,[156304173]
c1cc(N2CCCCC2)c2ccc(OCc3cncc(-n4ccc5cncnc54)c3)cc2n1,[156303994]
O=C(NCC1CC1)c1ccc(OCc2cncc(-n3cc(-c4cc[nH]n4)c4cncnc43)c2)cc1,[156304084]
c1cc(N2CCOCC2)c2ccc(OCc3cncc(-n4ccc5cncnc54)c3)cc2n1,[156304137]
O=C(NCc1ccc2cc(CN3CC4CC(C4)C3)[nH]c2c1)c1cc(=O)n2ccccc2n1,[166060835]
O=C(NCc1ccc2cc(CNCC3CCCC3)[nH]c2c1)c1cc(=O)n2ccccc2n1,"[156461953, 156461781]"
O=C(NCc1ccc2cc(CNC34CC(C3)C4)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156461966]
O=C(NCc1ccc2cc(CNC3CCC3)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156748936]
O=C(NCc1ccc2cc(CN3CC4CCC3CC4)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156461818]
O=C(NCc1ccc2cc(CNCC3CCCCC3)[nH]c2c1)c1cc(=O)n2ccccc2n1,"[156461950, 156461947]"
O=C(NCc1ccc2cc(CNC3CCCCC3)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156461636]
O=C(NCc1ccc2cc(CNCC3CCO3)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156461633]
c1cc2cc(CNCC3CC3)[nH]c2cc1Cn1cc(C2CCCC3NNCC32)nn1,[168489992]
c1cc2cc(CNCC3CCC3)[nH]c2cc1Cn1cc(C2CCCC3NNCC32)nn1,[168489993]
O=C(NCc1ccc2cc(CN3CC4(CCC4)C3)[nH]c2c1)c1cc(=O)n2ccccc2n1,"[166060832, 166060827, 156748956]"
O=C(NCc1ccc2cc(CN3CC4CC4C3)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156461621]
O=C(NCc1ccc2cc(CNCC#CC3CC3)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156461620]
O=C(NCc1ccc2cc(CNC3C4CCCC43)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156748980]
O=C(NCc1ccc2cc(CNCC34CCC(C3)C4)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156461805]
O=C(NCc1ccc2cc(CN3CC4(CCCC4)C3)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156461726]
O=C(NCc1ccc2cc(CN3CC4(CCCCC4)C3)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156461628]
O=C(NCc1ccc2cc(CCN3CC4(CCC4)C3)[nH]c2c1)c1cc(=O)n2ccccc2n1,[166060833]
O=C(NCc1ccc2cc(CN3CC(C4CCC4)C3)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156461967]
O=C(NCc1ccc2cc(CN3CC(C4CC4)C3)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156748844]
O=C(NCc1ccc2cc(CN3CCC4(CCC4)C3)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156461670]
O=C(NCc1ccc2cc(CN3CC4CCCC4C3)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156461837]
O=C(NCc1ccc2cc(CNCC3CC4(CC4)C3)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156748991]
O=C(NCc1ccc2cc(CN3CCC4(CC4)C3)[nH]c2c1)c1cc(=O)n2ccccc2n1,[166060830]
O=C(NCc1ccc2cc(CN3CCC4(CCCC4)C3)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156461722]
O=C(NCc1ccc2cc(CN3CCC4(CCO4)C3)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156461720]
O=C(NCc1ccc2cc(CNCC3CC34CC4)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156748981]
O=C(NCc1ccc2cc(CN3CC4CCC3C4)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156461663]
c1cc(-c2cn(Cc3cc4[nH]c(CNCC56CC(C5)C6)cc4cn3)nn2)c2cncn2c1,[156442382]
c1cncc(-c2cn(Cc3ccc4cc(CN5CCC6(CCC6)C5)[nH]c4c3)nn2)c1,[156461873]
c1cc(-c2cn(Cc3ccc4cc(CNC5CCCC5)[nH]c4c3)nn2)c2cn[nH]c2c1,"[156461637, 156461639]"
O=C(NCc1ccc2cc(CNCC3CC4CCC3O4)[nH]c2c1)c1cc(=O)n2ccccc2n1,[166635206]
c1cc(-c2cn(Cc3ccc4cc(CNCC5CCC5)[nH]c4c3)nn2)c2[nH]ncc2c1,[156461687]
c1cc(-n2cc(Cc3ccc4cc(CNCC5CCC5)[nH]c4c3)nn2)c2cncn2c1,[166636540]
c1cc(-c2cn(Cc3ccc4cc(CNCC5CC5)[nH]c4c3)nn2)c2cn[nH]c2c1,[156461638]
C(=CC1CCC(n2ccc3cncnc32)O1)CCNCc1ccccc1,[171400790]
C(=CC1CCC(n2ccc3cncnc32)O1)C1CCNCC1,[163239321]
C(=CC1CCC(n2ccc3cncnc32)O1)C1CCCNC1,[163239348]
C(=CC1CCC(n2ccc3cncnc32)O1)C1CCNC1,[163239335]
C(=CC1CCC(n2ccc3cncnc32)O1)CCCN1CCCCC1,"[163239292, 163239246, 163239334]"
c1ncc2ccn(C3CCC(c4ccc(CNCC56CC(C5)C6)cc4)C3)c2n1,[163239228]
c1cc(CCNCC23CC(C2)C3)cc(C2CCC(n3ccc4cncnc43)C2)c1,[163239249]
c1cc(CN2CCC3(CCC3)C2)cc(C2CCC(n3ccc4cncnc43)C2)c1,[163239352]
c1cc(CNCC23CC(C2)C3)cc(C2CCC(n3ccc4cncnc43)C2)c1,[163239344]
c1cnc2cc(OCC3CCC(n4cc(C5CC5)c5cncnc54)O3)ccc2c1,[166626015]
c1cnc2cc(OCC3CCC(n4cc(C5CCCO5)c5cncnc54)O3)ccc2c1,"[166626031, 156326966]"
c1cnc2cc(OCC3CCC(n4cc(-c5ccn(C6CCC6)n5)c5cncnc54)O3)ccc2c1,[166626089]
c1cc(NCC2CC2)c2ccc(OCC3CCC(n4cc(-c5cc[nH]n5)c5cncnc54)O3)cc2n1,"[156326998, 166628254]"
c1cnc2cc(OCC3CCC(n4ccc5cncnc54)O3)ccc2c1,"[166626353, 156326994, 166627257, 156327125, 166627952, 156296131, 156326999, 166629410, 166630986, 156327051, 156327115, 156327124, 166636264, 166636424]"
c1ncc2c(C3CCCO3)cn(C3CCC(COc4ccc5ccc(N6CCC6)nc5c4)O3)c2n1,[166627194]
c1ncc2c(-c3cc[nH]n3)cn(C3CCC(COc4ccc5cnc(NC6CC6)nc5c4)O3)c2n1,[156327141]
c1cnc2ccc(OCC3CCC(n4ccc5cncnc54)O3)cc2c1,[166629202]
c1cnc2cc(OCC3CCC(n4cc(C5CCNCC5)c5cncnc54)O3)ccc2c1,[156327090]
c1ncc2ccn(C3CCC(COc4ccc5ccc(NCC6CC6)nc5c4)O3)c2n1,[166630753]
c1cnc2cc(OCC3CCC(n4cc(CC5CCCC5)c5cncnc54)O3)ccc2c1,[166630927]
c1cnc2cc(OCC3CCC(n4cc(C5CCCCC5)c5cncnc54)O3)ccc2c1,"[156327097, 156327791]"
c1ncc2c(-c3cc[nH]n3)cn(C3CCC(COc4ccc5sc(N6CCC6)nc5c4)O3)c2n1,[156326973]
c1cnc2cc(OCC3CCC(n4cc(-c5ccn(C6COC6)n5)c5cncnc54)O3)ccc2c1,[164570047]
c1ncc2c(C3CCCC3)cn(C3CCC(COc4ccc5ccc(N6CCC6)nc5c4)O3)c2n1,[166631854]
c1ncc2c(-c3cc[nH]n3)cn(C3CCC(COc4ccc5ccc(NC6CCC6)nc5c4)O3)c2n1,"[156327043, 156327144]"
c1cc(N2CCOCC2)c2ccc(OCC3CCC(n4cc(-c5cc[nH]n5)c5cncnc54)O3)cc2n1,[166633069]
c1ncc2ccn(C3CCC(COc4ccc5ccc(C6CC6)nc5c4)O3)c2n1,[156327068]
c1cnc2cc(CCC3CCC(n4cc(C5CCCC5)c5cncnc54)C3)ccc2c1,"[156327030, 166634784, 166634869]"
c1ccc(-c2cn(C3CCC(COc4ccc5cccnc5c4)O3)c3ncncc23)cc1,[156327013]
c1ccc(Nc2ccc3ccc(CCC4CCC(n5ccc6cncnc65)C4)cc3n2)cc1,[156327077]
c1ncc2ccn(C3CCC(CCc4ccc5cn[nH]c5c4)C3)c2n1,[156327805]
c1ncc2ccn(C3CCC(COc4ccc5ccc(N6CCOCC6)nc5c4)O3)c2n1,[166634698]
O=C(Nc1cccc(CCC2CCC(n3ccc4cncnc43)C2)c1)C1CC1,[166634878]
c1cc(NC2CC2)c2ccc(OCC3CCC(n4cc(-c5cc[nH]n5)c5cncnc54)O3)cc2n1,[156327002]
c1ncc2c(-c3cc[nH]n3)cn(C3CCC(COc4ccc5ncc(N6CCC6)nc5c4)O3)c2n1,[156327037]
c1ncc2ccn(C3CCC(CCc4ccc5cc[nH]c5c4)C3)c2n1,[166635457]
c1ccc(CCC2CCC(n3ccc4cncnc43)C2)cc1,[156327105]
c1cc(OCC2CC2)c2ccc(CCC3CCC(n4ccc5cncnc54)C3)cc2n1,[166636119]
c1cnc2cc(CCC3CCC(n4cc(C5CCOCC5)c5cncnc54)C3)ccc2c1,[166636259]
c1cc(N2CCC(CNc3ccc(CN4CCCCC4)cc3)CC2)ncn1,[166634161]
O=C1CN(c2ccc(CN3CCCCC3)cc2)CC2(CCN(c3cc(NCc4ccccc4)ncn3)CC2)N1,[156596350]
O=C1CN(c2ccc(CN3CCCCC3)cc2)CC2(CN(c3ccncn3)C2)N1,[166132582]
c1cc(-c2cn(Cc3cn4cc(CNCC56CC(C5)C6)ccc4n3)nn2)c2cncn2c1,[163239107]
c1cncc(-c2cn(Cc3cn4cc(CN5CCC6(CCC6)C5)ccc4n3)nn2)c1,"[163239151, 163239058]"
c1cncc(-c2cn(Cc3cn4cc(CNCC56CC(C5)C6)ccc4n3)nn2)c1,"[163239102, 163239162]"
