scaffold,cid
O=C(NCc1ccc2cc[nH]c2c1)c1cc(=O)n2ccccc2n1,"[156461783, 156748886, 156461968, 156442188, 156442376, 156461814, 156461622, 156442198, 156461942, 156461671]"
c1cncc(-c2cn(Cc3cn4cc(CNCC5CCC5)ccc4n3)nn2)c1,[163239149]
c1cc(-c2noc(Cc3ccc4cc(CNCC5CCC5)[nH]c4c3)n2)c2cn[nH]c2c1,[156461683]
c1ncc2c(-c3cc[nH]n3)cn(-c3cncc(COc4ccc5ccc(N6CCCCC6)nc5c4)c3)c2n1,[156304050]
C(=CC1CCC(n2ccc3cncnc32)O1)CCCNCC1CCC1,"[171400787, 171400798]"
c1ncc2ccn(C3CCC(COc4ccc5nc[nH]c5c4)O3)c2n1,[166632426]
c1cnc2cc(OCC3CCC(n4cc(C5CCCC5)c5cncnc54)C3)ccc2c1,[156327103]
O=C(NCc1cn2cc(CNCC3CCC3)ccc2n1)c1cccc2cncn12,[163239192]
c1ncc2ccn(-c3cncc(COc4ccc5ccc(NCC6CC6)nc5c4)c3)c2n1,[156304102]
c1cnc2cc(OCC3CCC(n4ccc5cncnc54)C3)ccc2c1,"[166626092, 156327024, 156327133]"
c1cnc2cc(OCc3nnc(-n4ccc5cncnc54)s3)ccc2c1,[156303968]
c1ccn2cc(Cn3cc(-c4cnc5[nH]ccc5c4)nn3)nc2c1,[163239176]
O=C(NCc1ccc2cc(CNC34CC5CC(CC(C5)C3)C4)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156461941]
c1ncc2ccn(C3CCC(c4ccc(CCNCC56CC(C5)C6)cc4)C3)c2n1,[171400793]
O=C(NCc1cn2cc(CNCC3CCCCC3)ccc2n1)c1cnc2ccccc2c1,[155167464]
O=C1CN(c2ccc(CN3CCCCC3)cc2)CC2(CCN(c3ccnc4[nH]ccc34)CC2)N1,[166630951]
c1ccc(CCNc2ncnc3c2ccn3C2CCC(CCc3ccc4cccnc4c3)C2)cc1,[166631640]
c1cnc2nc(CCC3CCC(n4ccc5cncnc54)C3)ccc2c1,[166635306]
c1cnn(-c2cn(C3CCC(CCc4ccc5ccc(N6CCC6)nc5c4)C3)c3ncncc23)c1,[164570048]
c1ncc2ccn(C3CCC(COc4ccc5ccc(NC6CC6)nc5c4)O3)c2n1,[166633589]
c1cnc2cc(OCC3CCC(n4cc(CC5CC5)c5cncnc54)O3)ccc2c1,"[156327073, 166636129, 156327126]"
c1ncc2ccc(OCc3cncc(-n4ccc5cncnc54)c3)cc2n1,"[156304008, 166633930]"
O=C(NCc1ccc2cc(CNCC3CCC3)[nH]c2c1)c1cc(=O)n2ccccc2n1,"[156442379, 156442205, 156442226, 156442358, 156461649, 156461648, 156461647, 156461782, 156461952, 156442214, 156461945, 156461854, 156748930]"
c1ncc2ccn(C3CCC(COc4ccc5ccc(N6CCCC6)nc5c4)O3)c2n1,"[166631878, 156327743]"
c1ncc2c(-c3cc[nH]n3)cn(C3CCC(COc4ccc5ccc(NC6CC6)nc5c4)O3)c2n1,[156730054]
c1cnc2cc(CCC3CCC(n4cc(C5CCCC5)c5cncnc54)O3)ccc2c1,[156327010]
C(=CCNCc1ccccc1)CCC1CCC(n2ccc3cncnc32)O1,[163239272]
c1ccc(-c2cn(C3CCC(COc4ccc5cccnc5c4)O3)c3ncncc23)nc1,"[156326989, 156327129, 156327047]"
c1cnc2cc(OCc3cncc(-n4cc(C5CCCC5)c5cncnc54)n3)ccc2c1,[166039007]
c1cnc2cc(CCC3CCC(n4ccc5cncnc54)C3)ccc2c1,"[126638557, 156296083, 156327102, 166626272, 156326948, 156327813, 166630917, 156327039, 156326980, 156327104, 126637904, 146602935, 126637519, 166634948]"
c1ccc(-c2cn(-c3cncc(COc4ccc5ccc(N6CCC6)nc5c4)c3)c3ncncc23)cc1,[166636481]
c1ncc2ccn(-c3nnc(COc4ccc5ccc(N6CCCC6)nc5c4)s3)c2n1,[156303934]
O=C(NCc1cn2cc(CNCC3CCCCC3)ccc2n1)c1cc(=O)n2ccccc2n1,[155167581]
c1ccc(CCCCCNCCNc2ccnc3cc(OCc4cncc(-n5ccc6cncnc65)c4)ccc23)cc1,[156304105]
c1cc(-c2cn(Cc3ccc4cc(CNCC5CCC5)[nH]c4c3)nn2)c2cn[nH]c2c1,"[156461753, 156461641]"
c1cnc2cc(OCC3CCC(n4cc(-c5ccn[nH]5)c5cncnc54)O3)ccc2c1,"[166632588, 156327050]"
c1ncc2[nH]cc(-c3cncc(COc4ccc5ccc(N6CCC6)nc5c4)c3)c2n1,[156304062]
O=C(NCc1ccc2cc(C3CCCCN3)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156461690]
c1cc(N2CCNCC2)c2ccc(OCc3cncc(-n4cc(-c5cc[nH]n5)c5cncnc54)c3)cc2n1,[156304015]
O=C(NCc1cc2ccccn2c1)c1cc(=O)n2ccccc2n1,[156442165]
c1cnc2cc(OCc3cncc(-n4cc(C5CCCO5)c5cncnc54)n3)ccc2c1,[156304038]
O=C(NCc1cn2cc(CNCC3CCC3)ccc2n1)c1ccc2[nH]ccc2c1,[163239096]
c1cnc2cc(OCC3CCC(n4cnc5cncnc54)O3)ccc2c1,[166626520]
c1cc(-c2cn(Cc3cn4cc(CN5CC6(CCC6)C5)ccc4n3)nn2)c2cncn2c1,"[163239161, 163239135]"
c1cncc(CCC2CCC(n3ccc4cncnc43)C2)c1,[139449595]
c1ncc2ccn(C3CCC(c4ccc5cc(CN6CCC7(CCC7)C6)[nH]c5c4)C3)c2n1,"[163239206, 163239235]"
c1cc(NC2CC2)c2ccc(OCc3cncc(-n4cc(C5CCCO5)c5cncnc54)c3)cc2n1,[156304123]
